223.165.4.57:443#地区随机 | 台湾 TW | HKG | 223.165.4.57:443_1 [219ms 0Mbps]
139.59.115.38:443#地区随机 | 新加坡 SG | SIN | 139.59.115.38:443_1 [110ms 3Mbps]
139.59.115.7:443#地区随机 | 新加坡 SG | SIN | 139.59.115.7:443_1 [优选高速] [94ms 5Mbps]
139.59.123.238:443#地区随机 | 新加坡 SG | SIN | 139.59.123.238:443_1 [94ms 3Mbps]
139.59.127.117:443#地区随机 | 新加坡 SG | SIN | 139.59.127.117:443_1 [优选高速] [94ms 5Mbps]
139.59.224.185:443#地区随机 | 新加坡 SG | SIN | 139.59.224.185:443_1 [优选高速] [94ms 7Mbps]
139.59.250.249:443#地区随机 | 新加坡 SG | SIN | 139.59.250.249:443_1 [110ms 3Mbps]
139.99.124.165:443#地区随机 | 新加坡 SG | SIN | 139.99.124.165:443_1 [94ms 1Mbps]
140.245.101.81:443#地区随机 | 新加坡 SG | SIN | 140.245.101.81:443_1 [优选高速] [94ms 4Mbps]
140.245.54.99:2053#地区随机 | 新加坡 SG | SIN | 140.245.54.99:2053_1 [优选高速] [94ms 6Mbps]
140.245.59.102:8443#地区随机 | 新加坡 SG | SIN | 140.245.59.102:8443_1 [94ms 3Mbps]
141.11.43.124:443#地区随机 | 新加坡 SG | SIN | 141.11.43.124:443_1 [优选高速] [110ms 7Mbps]
143.198.209.123:443#地区随机 | 新加坡 SG | SIN | 143.198.209.123:443_1 [110ms 2Mbps]
143.198.211.180:443#地区随机 | 新加坡 SG | SIN | 143.198.211.180:443_1 [1078ms 2Mbps]
143.198.213.40:443#地区随机 | 新加坡 SG | SIN | 143.198.213.40:443_1 [110ms 1Mbps]
143.198.213.81:443#地区随机 | 新加坡 SG | SIN | 143.198.213.81:443_1 [110ms 1Mbps]
143.198.85.69:443#地区随机 | 新加坡 SG | SIN | 143.198.85.69:443_1 [94ms 1Mbps]
143.198.90.188:443#地区随机 | 新加坡 SG | SIN | 143.198.90.188:443_1 [110ms 2Mbps]
146.190.100.44:443#地区随机 | 新加坡 SG | SIN | 146.190.100.44:443_1 [94ms 3Mbps]
146.190.102.51:443#地区随机 | 新加坡 SG | SIN | 146.190.102.51:443_1 [94ms 0Mbps]
146.190.87.188:443#地区随机 | 新加坡 SG | SIN | 146.190.87.188:443_1 [94ms 2Mbps]
146.235.16.191:443#地区随机 | 新加坡 SG | SIN | 146.235.16.191:443_1 [优选高速] [110ms 5Mbps]
149.28.129.157:2053#地区随机 | 新加坡 SG | SIN | 149.28.129.157:2053_1 [235ms 0Mbps]
149.28.156.182:443#地区随机 | 新加坡 SG | SIN | 149.28.156.182:443_1 [266ms 0Mbps]
150.109.11.223:443#地区随机 | 新加坡 SG | SIN | 150.109.11.223:443_1 [94ms 0Mbps]
152.42.161.156:443#地区随机 | 新加坡 SG | SIN | 152.42.161.156:443_1 [110ms 2Mbps]
152.42.169.132:443#地区随机 | 新加坡 SG | SIN | 152.42.169.132:443_1 [94ms 0Mbps]
152.42.174.66:443#地区随机 | 新加坡 SG | SIN | 152.42.174.66:443_1 [110ms 1Mbps]
152.42.175.157:443#地区随机 | 新加坡 SG | SIN | 152.42.175.157:443_1 [110ms 4Mbps]
152.42.187.83:443#地区随机 | 新加坡 SG | SIN | 152.42.187.83:443_1 [94ms 2Mbps]
152.42.194.191:443#地区随机 | 新加坡 SG | SIN | 152.42.194.191:443_1 [94ms 1Mbps]
152.42.196.47:443#地区随机 | 新加坡 SG | SIN | 152.42.196.47:443_1 [94ms 2Mbps]
152.42.198.190:443#地区随机 | 新加坡 SG | SIN | 152.42.198.190:443_1 [94ms 4Mbps]
152.42.199.134:443#地区随机 | 新加坡 SG | SIN | 152.42.199.134:443_1 [优选高速] [94ms 5Mbps]
152.42.200.217:443#地区随机 | 新加坡 SG | SIN | 152.42.200.217:443_1 [110ms 4Mbps]
152.42.212.65:443#地区随机 | 新加坡 SG | SIN | 152.42.212.65:443_1 [94ms 3Mbps]
152.42.217.192:443#地区随机 | 新加坡 SG | SIN | 152.42.217.192:443_1 [94ms 1Mbps]
152.42.221.149:443#地区随机 | 新加坡 SG | SIN | 152.42.221.149:443_1 [94ms 2Mbps]
152.42.228.178:443#地区随机 | 新加坡 SG | SIN | 152.42.228.178:443_1 [94ms 0Mbps]
152.42.232.41:443#地区随机 | 新加坡 SG | SIN | 152.42.232.41:443_1 [优选高速] [110ms 7Mbps]
152.42.235.119:443#地区随机 | 新加坡 SG | SIN | 152.42.235.119:443_1 [94ms 4Mbps]
152.42.240.179:443#地区随机 | 新加坡 SG | SIN | 152.42.240.179:443_1 [优选高速] [94ms 4Mbps]
152.42.246.237:443#地区随机 | 新加坡 SG | SIN | 152.42.246.237:443_1 [优选高速] [94ms 4Mbps]
152.42.247.235:443#地区随机 | 新加坡 SG | SIN | 152.42.247.235:443_1 [94ms 2Mbps]
154.26.128.147:443#地区随机 | 新加坡 SG | SIN | 154.26.128.147:443_1 [94ms 1Mbps]
157.230.254.79:443#地区随机 | 新加坡 SG | SIN | 157.230.254.79:443_1 [优选高速] [94ms 4Mbps]
157.230.255.59:443#地区随机 | 新加坡 SG | SIN | 157.230.255.59:443_1 [110ms 1Mbps]
157.230.32.24:443#地区随机 | 新加坡 SG | SIN | 157.230.32.24:443_1 [94ms 2Mbps]
157.230.38.88:443#地区随机 | 新加坡 SG | SIN | 157.230.38.88:443_1 [94ms 2Mbps]
157.230.39.201:8443#地区随机 | 新加坡 SG | SIN | 157.230.39.201:8443_1 [94ms 2Mbps]
157.230.44.100:443#地区随机 | 新加坡 SG | SIN | 157.230.44.100:443_1 [110ms 2Mbps]
157.230.44.151:443#地区随机 | 新加坡 SG | SIN | 157.230.44.151:443_1 [94ms 2Mbps]
157.245.151.130:443#地区随机 | 新加坡 SG | SIN | 157.245.151.130:443_1 [优选高速] [110ms 5Mbps]
157.245.159.88:443#地区随机 | 新加坡 SG | SIN | 157.245.159.88:443_1 [94ms 3Mbps]
157.245.198.117:443#地区随机 | 新加坡 SG | SIN | 157.245.198.117:443_1 [94ms 2Mbps]
157.245.56.32:443#地区随机 | 新加坡 SG | SIN | 157.245.56.32:443_1 [110ms 2Mbps]
157.245.60.179:443#地区随机 | 新加坡 SG | SIN | 157.245.60.179:443_1 [110ms 3Mbps]
158.178.230.113:8443#地区随机 | 新加坡 SG | SIN | 158.178.230.113:8443_1 [110ms 2Mbps]
159.223.41.212:443#地区随机 | 新加坡 SG | SIN | 159.223.41.212:443_1 [优选高速] [110ms 6Mbps]
159.223.50.79:443#地区随机 | 新加坡 SG | SIN | 159.223.50.79:443_1 [110ms 2Mbps]
159.223.62.35:443#地区随机 | 新加坡 SG | SIN | 159.223.62.35:443_1 [110ms 1Mbps]
159.223.78.76:443#地区随机 | 新加坡 SG | SIN | 159.223.78.76:443_1 [110ms 3Mbps]
159.223.79.119:443#地区随机 | 新加坡 SG | SIN | 159.223.79.119:443_1 [125ms 4Mbps]
159.223.84.236:443#地区随机 | 新加坡 SG | SIN | 159.223.84.236:443_1 [94ms 1Mbps]
159.223.85.214:443#地区随机 | 新加坡 SG | SIN | 159.223.85.214:443_1 [110ms 1Mbps]
159.223.93.80:443#地区随机 | 新加坡 SG | SIN | 159.223.93.80:443_1 [110ms 3Mbps]
159.65.141.109:443#地区随机 | 新加坡 SG | SIN | 159.65.141.109:443_1 [优选高速] [110ms 5Mbps]
159.65.143.223:443#地区随机 | 新加坡 SG | SIN | 159.65.143.223:443_1 [优选高速] [110ms 10Mbps]
159.65.143.81:443#地区随机 | 新加坡 SG | SIN | 159.65.143.81:443_1 [110ms 1Mbps]
159.65.15.18:443#地区随机 | 新加坡 SG | SIN | 159.65.15.18:443_1 [110ms 0Mbps]
159.65.15.24:443#地区随机 | 新加坡 SG | SIN | 159.65.15.24:443_1 [110ms 2Mbps]
159.89.205.195:443#地区随机 | 新加坡 SG | SIN | 159.89.205.195:443_1 [优选高速] [110ms 8Mbps]
159.89.207.154:443#地区随机 | 新加坡 SG | SIN | 159.89.207.154:443_1 [141ms 3Mbps]
161.118.213.45:443#地区随机 | 新加坡 SG | SIN | 161.118.213.45:443_1 [优选高速] [125ms 7Mbps]
164.52.2.100:443#地区随机 | 新加坡 SG | SIN | 164.52.2.100:443_1 [110ms 1Mbps]
164.52.2.98:443#地区随机 | 新加坡 SG | SIN | 164.52.2.98:443_1 [优选高速] [110ms 7Mbps]
164.52.2.99:443#地区随机 | 新加坡 SG | SIN | 164.52.2.99:443_1 [优选高速] [110ms 5Mbps]
165.22.102.89:443#地区随机 | 新加坡 SG | SIN | 165.22.102.89:443_1 [110ms 3Mbps]
165.22.104.36:443#地区随机 | 新加坡 SG | SIN | 165.22.104.36:443_1 [110ms 1Mbps]
165.22.248.134:443#地区随机 | 新加坡 SG | SIN | 165.22.248.134:443_1 [125ms 0Mbps]
165.22.253.232:443#地区随机 | 新加坡 SG | SIN | 165.22.253.232:443_1 [125ms 2Mbps]
165.22.59.195:443#地区随机 | 新加坡 SG | SIN | 165.22.59.195:443_1 [110ms 1Mbps]
165.22.99.110:443#地区随机 | 新加坡 SG | SIN | 165.22.99.110:443_1 [125ms 1Mbps]
165.232.165.200:443#地区随机 | 新加坡 SG | SIN | 165.232.165.200:443_1 [110ms 1Mbps]
165.232.175.180:443#地区随机 | 新加坡 SG | SIN | 165.232.175.180:443_1 [优选高速] [110ms 5Mbps]
165.245.144.113:443#地区随机 | 新加坡 SG | SIN | 165.245.144.113:443_1 [110ms 1Mbps]
165.245.178.114:443#地区随机 | 新加坡 SG | SIN | 165.245.178.114:443_1 [125ms 2Mbps]
165.245.181.78:443#地区随机 | 新加坡 SG | SIN | 165.245.181.78:443_1 [125ms 2Mbps]
165.245.182.116:443#地区随机 | 新加坡 SG | SIN | 165.245.182.116:443_1 [110ms 2Mbps]
165.245.184.76:443#地区随机 | 新加坡 SG | SIN | 165.245.184.76:443_1 [110ms 1Mbps]
165.245.190.53:443#地区随机 | 新加坡 SG | SIN | 165.245.190.53:443_1 [110ms 2Mbps]
167.172.65.175:443#地区随机 | 新加坡 SG | SIN | 167.172.65.175:443_1 [优选高速] [110ms 5Mbps]
167.172.68.31:443#地区随机 | 新加坡 SG | SIN | 167.172.68.31:443_1 [优选高速] [110ms 4Mbps]
167.172.75.2:443#地区随机 | 新加坡 SG | SIN | 167.172.75.2:443_1 [110ms 0Mbps]
167.172.86.195:443#地区随机 | 新加坡 SG | SIN | 167.172.86.195:443_1 [110ms 2Mbps]
167.172.87.155:443#地区随机 | 新加坡 SG | SIN | 167.172.87.155:443_1 [110ms 1Mbps]
167.172.90.175:443#地区随机 | 新加坡 SG | SIN | 167.172.90.175:443_1 [110ms 2Mbps]
167.71.198.82:8443#地区随机 | 新加坡 SG | SIN | 167.71.198.82:8443_1 [优选高速] [110ms 7Mbps]
167.71.199.136:443#地区随机 | 新加坡 SG | SIN | 167.71.199.136:443_1 [125ms 3Mbps]
167.71.203.125:443#地区随机 | 新加坡 SG | SIN | 167.71.203.125:443_1 [110ms 2Mbps]
167.71.213.95:443#地区随机 | 新加坡 SG | SIN | 167.71.213.95:443_1 [110ms 3Mbps]
167.71.219.37:443#地区随机 | 新加坡 SG | SIN | 167.71.219.37:443_1 [110ms 1Mbps]
167.71.220.89:443#地区随机 | 新加坡 SG | SIN | 167.71.220.89:443_1 [优选高速] [110ms 12Mbps]
167.71.221.62:443#地区随机 | 新加坡 SG | SIN | 167.71.221.62:443_1 [110ms 1Mbps]
167.71.222.177:443#地区随机 | 新加坡 SG | SIN | 167.71.222.177:443_1 [110ms 1Mbps]
167.99.69.85:443#地区随机 | 新加坡 SG | SIN | 167.99.69.85:443_1 [110ms 1Mbps]
167.99.71.38:443#地区随机 | 新加坡 SG | SIN | 167.99.71.38:443_1 [优选高速] [110ms 5Mbps]
167.99.74.195:443#地区随机 | 新加坡 SG | SIN | 167.99.74.195:443_1 [125ms 2Mbps]
167.99.77.145:443#地区随机 | 新加坡 SG | SIN | 167.99.77.145:443_1 [优选高速] [110ms 6Mbps]
167.99.77.156:443#地区随机 | 新加坡 SG | SIN | 167.99.77.156:443_1 [125ms 3Mbps]
168.138.189.91:443#地区随机 | 新加坡 SG | SIN | 168.138.189.91:443_1 [优选高速] [125ms 4Mbps]
168.144.108.174:443#地区随机 | 新加坡 SG | SIN | 168.144.108.174:443_1 [125ms 3Mbps]
168.144.109.68:443#地区随机 | 新加坡 SG | SIN | 168.144.109.68:443_1 [125ms 3Mbps]
168.144.33.100:443#地区随机 | 新加坡 SG | SIN | 168.144.33.100:443_1 [110ms 1Mbps]
168.144.36.249:443#地区随机 | 新加坡 SG | SIN | 168.144.36.249:443_1 [110ms 3Mbps]
168.144.39.64:443#地区随机 | 新加坡 SG | SIN | 168.144.39.64:443_1 [125ms 4Mbps]
168.144.41.69:443#地区随机 | 新加坡 SG | SIN | 168.144.41.69:443_1 [125ms 0Mbps]
168.144.44.144:443#地区随机 | 新加坡 SG | SIN | 168.144.44.144:443_1 [110ms 0Mbps]
168.144.44.84:443#地区随机 | 新加坡 SG | SIN | 168.144.44.84:443_1 [125ms 3Mbps]
168.144.46.234:443#地区随机 | 新加坡 SG | SIN | 168.144.46.234:443_1 [125ms 2Mbps]
168.144.47.94:443#地区随机 | 新加坡 SG | SIN | 168.144.47.94:443_1 [110ms 1Mbps]
168.144.96.147:443#地区随机 | 新加坡 SG | SIN | 168.144.96.147:443_1 [125ms 2Mbps]
172.104.186.18:8443#地区随机 | 新加坡 SG | SIN | 172.104.186.18:8443_1 [110ms 1Mbps]
172.104.53.198:443#地区随机 | 新加坡 SG | SIN | 172.104.53.198:443_1 [优选高速] [110ms 5Mbps]
172.236.154.50:443#地区随机 | 新加坡 SG | SIN | 172.236.154.50:443_1 [110ms 1Mbps]
172.237.84.250:443#地区随机 | 新加坡 SG | SIN | 172.237.84.250:443_1 [优选高速] [110ms 5Mbps]
174.138.17.183:443#地区随机 | 新加坡 SG | SIN | 174.138.17.183:443_1 [125ms 1Mbps]
174.138.18.114:443#地区随机 | 新加坡 SG | SIN | 174.138.18.114:443_1 [110ms 1Mbps]
174.138.20.108:443#地区随机 | 新加坡 SG | SIN | 174.138.20.108:443_1 [125ms 4Mbps]
174.138.24.13:443#地区随机 | 新加坡 SG | SIN | 174.138.24.13:443_1 [141ms 2Mbps]
174.138.24.153:443#地区随机 | 新加坡 SG | SIN | 174.138.24.153:443_1 [125ms 1Mbps]
174.138.27.228:443#地区随机 | 新加坡 SG | SIN | 174.138.27.228:443_1 [110ms 2Mbps]
178.128.101.67:443#地区随机 | 新加坡 SG | SIN | 178.128.101.67:443_1 [优选高速] [110ms 5Mbps]
178.128.117.127:443#地区随机 | 新加坡 SG | SIN | 178.128.117.127:443_1 [优选高速] [110ms 5Mbps]
178.128.125.147:443#地区随机 | 新加坡 SG | SIN | 178.128.125.147:443_1 [125ms 1Mbps]
178.128.19.168:443#地区随机 | 新加坡 SG | SIN | 178.128.19.168:443_1 [110ms 1Mbps]
178.128.20.158:443#地区随机 | 新加坡 SG | SIN | 178.128.20.158:443_1 [141ms 2Mbps]
178.128.209.190:443#地区随机 | 新加坡 SG | SIN | 178.128.209.190:443_1 [110ms 3Mbps]
178.128.211.191:443#地区随机 | 新加坡 SG | SIN | 178.128.211.191:443_1 [141ms 3Mbps]
178.128.58.101:443#地区随机 | 新加坡 SG | SIN | 178.128.58.101:443_1 [优选高速] [110ms 6Mbps]
178.128.60.89:443#地区随机 | 新加坡 SG | SIN | 178.128.60.89:443_1 [优选高速] [110ms 5Mbps]
178.128.82.93:443#地区随机 | 新加坡 SG | SIN | 178.128.82.93:443_1 [优选高速] [110ms 6Mbps]
178.128.86.3:443#地区随机 | 新加坡 SG | SIN | 178.128.86.3:443_1 [110ms 3Mbps]
178.128.90.108:443#地区随机 | 新加坡 SG | SIN | 178.128.90.108:443_1 [125ms 4Mbps]
178.128.95.74:443#地区随机 | 新加坡 SG | SIN | 178.128.95.74:443_1 [125ms 3Mbps]
178.128.97.53:443#地区随机 | 新加坡 SG | SIN | 178.128.97.53:443_1 [125ms 3Mbps]
18.143.76.130:443#地区随机 | 新加坡 SG | SIN | 18.143.76.130:443_1 [110ms 1Mbps]
185.225.20.99:8443#地区随机 | 新加坡 SG | SIN | 185.225.20.99:8443_1 [优选高速] [94ms 5Mbps]
188.166.187.67:443#地区随机 | 新加坡 SG | SIN | 188.166.187.67:443_1 [109ms 3Mbps]
188.166.214.16:443#地区随机 | 新加坡 SG | SIN | 188.166.214.16:443_1 [94ms 3Mbps]
188.166.217.179:443#地区随机 | 新加坡 SG | SIN | 188.166.217.179:443_1 [94ms 1Mbps]
188.166.234.172:443#地区随机 | 新加坡 SG | SIN | 188.166.234.172:443_1 [109ms 1Mbps]
188.166.236.153:443#地区随机 | 新加坡 SG | SIN | 188.166.236.153:443_1 [109ms 2Mbps]
188.166.245.164:443#地区随机 | 新加坡 SG | SIN | 188.166.245.164:443_1 [94ms 2Mbps]
188.166.247.45:443#地区随机 | 新加坡 SG | SIN | 188.166.247.45:443_1 [125ms 1Mbps]
188.166.251.234:443#地区随机 | 新加坡 SG | SIN | 188.166.251.234:443_1 [94ms 1Mbps]
188.239.21.47:8443#地区随机 | 新加坡 SG | SIN | 188.239.21.47:8443_1 [94ms 3Mbps]
188.239.9.91:443#地区随机 | 新加坡 SG | SIN | 188.239.9.91:443_1 [125ms 2Mbps]
192.124.176.70:443#地区随机 | 新加坡 SG | SIN | 192.124.176.70:443_1 [94ms 1Mbps]
194.127.192.165:443#地区随机 | 新加坡 SG | SIN | 194.127.192.165:443_1 [125ms 2Mbps]
194.233.67.84:443#地区随机 | 新加坡 SG | SIN | 194.233.67.84:443_1 [125ms 2Mbps]
194.87.10.77:443#地区随机 | 新加坡 SG | SIN | 194.87.10.77:443_1 [125ms 4Mbps]
20.6.12.145:443#地区随机 | 新加坡 SG | SIN | 20.6.12.145:443_1 [109ms 0Mbps]
206.189.147.193:443#地区随机 | 新加坡 SG | SIN | 206.189.147.193:443_1 [94ms 1Mbps]
206.189.147.60:443#地区随机 | 新加坡 SG | SIN | 206.189.147.60:443_1 [优选高速] [125ms 6Mbps]
206.189.152.133:443#地区随机 | 新加坡 SG | SIN | 206.189.152.133:443_1 [优选高速] [109ms 8Mbps]
206.189.155.153:443#地区随机 | 新加坡 SG | SIN | 206.189.155.153:443_1 [125ms 1Mbps]
206.189.157.20:443#地区随机 | 新加坡 SG | SIN | 206.189.157.20:443_1 [94ms 1Mbps]
206.189.82.100:443#地区随机 | 新加坡 SG | SIN | 206.189.82.100:443_1 [125ms 2Mbps]
206.189.82.255:443#地区随机 | 新加坡 SG | SIN | 206.189.82.255:443_1 [优选高速] [109ms 8Mbps]
206.189.95.233:443#地区随机 | 新加坡 SG | SIN | 206.189.95.233:443_1 [125ms 2Mbps]
206.189.95.91:443#地区随机 | 新加坡 SG | SIN | 206.189.95.91:443_1 [109ms 1Mbps]
209.97.160.109:443#地区随机 | 新加坡 SG | SIN | 209.97.160.109:443_1 [优选高速] [94ms 11Mbps]
209.97.162.112:443#地区随机 | 新加坡 SG | SIN | 209.97.162.112:443_1 [125ms 1Mbps]
209.97.163.209:443#地区随机 | 新加坡 SG | SIN | 209.97.163.209:443_1 [94ms 3Mbps]
209.97.170.177:443#地区随机 | 新加坡 SG | SIN | 209.97.170.177:443_1 [优选高速] [109ms 5Mbps]
209.97.171.87:443#地区随机 | 新加坡 SG | SIN | 209.97.171.87:443_1 [109ms 2Mbps]
213.35.127.18:443#地区随机 | 新加坡 SG | SIN | 213.35.127.18:443_1 [优选高速] [125ms 4Mbps]
43.133.61.219:443#地区随机 | 新加坡 SG | SIN | 43.133.61.219:443_1 [156ms 1Mbps]
43.134.174.114:443#地区随机 | 新加坡 SG | SIN | 43.134.174.114:443_1 [优选高速] [156ms 4Mbps]
43.160.195.223:443#地区随机 | 新加坡 SG | SIN | 43.160.195.223:443_1 [141ms 0Mbps]
45.127.35.143:443#地区随机 | 新加坡 SG | SIN | 45.127.35.143:443_1 [109ms 2Mbps]
45.128.222.55:443#地区随机 | 新加坡 SG | SIN | 45.128.222.55:443_1 [125ms 0Mbps]
45.197.12.118:443#地区随机 | 新加坡 SG | SIN | 45.197.12.118:443_1 [125ms 0Mbps]
45.77.242.249:443#地区随机 | 新加坡 SG | SIN | 45.77.242.249:443_1 [266ms 0Mbps]
46.250.230.93:8443#地区随机 | 新加坡 SG | SIN | 46.250.230.93:8443_1 [优选高速] [125ms 7Mbps]
46.250.232.25:443#地区随机 | 新加坡 SG | SIN | 46.250.232.25:443_1 [125ms 3Mbps]
47.82.162.142:443#地区随机 | 新加坡 SG | SIN | 47.82.162.142:443_1 [125ms 2Mbps]
47.82.178.58:443#地区随机 | 新加坡 SG | SIN | 47.82.178.58:443_1 [109ms 0Mbps]
5.223.51.84:443#地区随机 | 新加坡 SG | SIN | 5.223.51.84:443_1 [109ms 0Mbps]
5.223.52.82:443#地区随机 | 新加坡 SG | SIN | 5.223.52.82:443_1 [125ms 0Mbps]
5.223.56.239:8443#地区随机 | 新加坡 SG | SIN | 5.223.56.239:8443_1 [125ms 1Mbps]
5.223.59.9:443#地区随机 | 新加坡 SG | SIN | 5.223.59.9:443_1 [优选高速] [141ms 5Mbps]
5.223.60.212:443#地区随机 | 新加坡 SG | SIN | 5.223.60.212:443_1 [125ms 1Mbps]
5.223.93.126:8443#地区随机 | 新加坡 SG | SIN | 5.223.93.126:8443_1 [125ms 1Mbps]
51.79.248.128:443#地区随机 | 新加坡 SG | SIN | 51.79.248.128:443_1 [优选高速] [125ms 4Mbps]
52.230.95.97:443#地区随机 | 新加坡 SG | SIN | 52.230.95.97:443_1 [优选高速] [125ms 8Mbps]
62.146.232.232:443#地区随机 | 新加坡 SG | SIN | 62.146.232.232:443_1 [125ms 1Mbps]
64.120.94.225:443#地区随机 | 新加坡 SG | SIN | 64.120.94.225:443_1 [优选高速] [125ms 8Mbps]
66.42.51.60:8443#地区随机 | 新加坡 SG | SIN | 66.42.51.60:8443_1 [265ms 0Mbps]
66.42.61.215:443#地区随机 | 新加坡 SG | SIN | 66.42.61.215:443_1 [234ms 0Mbps]
68.183.183.54:443#地区随机 | 新加坡 SG | SIN | 68.183.183.54:443_1 [109ms 1Mbps]
68.183.225.227:443#地区随机 | 新加坡 SG | SIN | 68.183.225.227:443_1 [109ms 1Mbps]
68.183.227.22:443#地区随机 | 新加坡 SG | SIN | 68.183.227.22:443_1 [109ms 0Mbps]
68.183.230.164:443#地区随机 | 新加坡 SG | SIN | 68.183.230.164:443_1 [109ms 1Mbps]
68.183.231.228:443#地区随机 | 新加坡 SG | SIN | 68.183.231.228:443_1 [109ms 0Mbps]
84.247.150.74:443#地区随机 | 新加坡 SG | SIN | 84.247.150.74:443_1 [优选高速] [109ms 14Mbps]
91.192.81.154:2053#地区随机 | 新加坡 SG | SIN | 91.192.81.154:2053_1 [125ms 1Mbps]
126.220.82.161:443#地区随机 | 日本 JP | KIX | 126.220.82.161:443_1 [110ms 3Mbps]
138.2.62.8:443#地区随机 | 日本 JP | KIX | 138.2.62.8:443_1 [110ms 0Mbps]
140.83.50.165:443#地区随机 | 日本 JP | KIX | 140.83.50.165:443_1 [优选高速] [125ms 7Mbps]
150.230.5.126:443#地区随机 | 日本 JP | KIX | 150.230.5.126:443_1 [125ms 0Mbps]
161.33.46.100:443#地区随机 | 日本 JP | KIX | 161.33.46.100:443_1 [125ms 1Mbps]
166.88.98.216:443#地区随机 | 日本 JP | KIX | 166.88.98.216:443_1 [157ms 0Mbps]
172.233.64.181:8443#地区随机 | 日本 JP | KIX | 172.233.64.181:8443_1 [141ms 0Mbps]
172.235.201.100:443#地区随机 | 日本 JP | KIX | 172.235.201.100:443_1 [141ms 0Mbps]
178.157.56.34:443#地区随机 | 日本 JP | KIX | 178.157.56.34:443_1 [141ms 2Mbps]
192.243.123.44:443#地区随机 | 日本 JP | KIX | 192.243.123.44:443_1 [优选高速] [109ms 9Mbps]
